ObjectID *,Shape *,Type,Title,Issuance Date,Year,Cancellation Date,Cause,Count,Monitoring Station,Location Name,Statewide,Island,Island Wide,County,Advisement,Volume_gallons,Status,Latitude,Longitude
11,Point,Sewage Spill,"Wastewater Discharge at Kailua bay, Kona, Hawai‘i",7/11/2020 22:35,2020,7/15/2020 23:46,Broken sewer line,<Null>,<Null>,Kailua bay,No,Hawaii,No,Hawaii,"The public is advised to remain out of the waters of Kailua Bay in Kona.
Approximately 20,000 gallons of sewage entered Kailua Bay due to a broken sewer line. Signs have been posted and water quality samples are being collected. The public is advised to remain out of Kailua Bay until this advisory has been canceled.",20000,Closed,19.638757,-155.995589
12,Point,Sewage Spill,"Wastewater Discharge at Wastewater discharge, Kaohaoha Gulch, Hawai‘i",2/24/2019 19:46,2019,3/19/2019 18:53,Unconfirmed,<Null>,<Null>,"Wastewater discharge, Kaohaoha Gulch",No,Hawaii,No,Hawaii,"The Hawai‘i Department of Health (DOH) is advising the public stay out of the waters in Kaohaoha Gulch and the coastal waters fronting the gulch in Ookala, Hawai‘i. Water within Kaohaoha Gulch was contaminated with animal waste due to an overflowing retention pond at the dairy facility caused by heavy rainfall.

Signs have been posted. The public is advised to remain out of these waters until this advisory has been taken down.

Heavy rain has also resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",,Closed,20.016787,-155.269102
13,Point,Sewage Spill,"Wastewater Discharge at Pepeekeo, Hawaii island",12/30/2018 2:40,2018,1/1/2019 2:32,Equipment failure,<Null>,<Null>,"Pepeekeo, Island of Hawaii",No,Hawaii,No,Hawaii,"The public is advised to remain out of waters near Pepeekeo due to a wastewater discharge from Kulaimano Wastewater Treatment Plant. 

Event: wastewater discharge 
Location : Pepeekeo
Volume: estimated 66,000 gallons
Affected waters: coastal waters fronting Pepeekeo town
Status of spill: discharge stopped

Warning signs have been posted along the affected coastline. The public is advised to remain out of these waters until the signs have been removed. 
.",66000,Closed,19.828805,-155.083434
14,Point,Sewage Spill,"Wastewater Discharge at Kaohaoha Gulch, Hawai‘i",12/24/2018 23:01,2018,1/19/2019 0:48,Unconfirmed,<Null>,<Null>,Kaohaoha Gulch,No,Hawaii,No,Hawaii,"The Hawai‘i Department of Health (DOH) is advising the public stay out of the waters in Kaohaoha Gulch and the coastal waters fronting the gulch in Ookala, Hawai‘i. Water within Kaohaoha Gulch was contaminated with animal waste due to an overflowing retention pond at the dairy facility caused by heavy rainfall.

Signs have been posted. The public is advised to remain out of these waters until this advisory has been taken down.

Heavy rain has also resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",,Closed,20.016787,-155.269102
15,Point,Sewage Spill,"Wastewater Discharge at Wailuku River and Hilo Bay, Hawai‘i",9/4/2018 10:00,2018,9/7/2018 10:00,Unconfirmed,<Null>,<Null>,Wailuku River and Hilo Bay,No,Hawaii,No,Hawaii,"The public is advised to remain out of the waters of Wailuku River and Hilo Bay due to wastewater discharges.

Event: Wastewater discharge
Spill location: Wailuku and Pua pump stations
Affected Waters: Wailuku River, Hilo Bay, 
Volume: no estimate at this time
Time of spill: approximately 5:45 am, and 6:38 am, respectively
Spill status: Ongoing

The public is advised to remain out of these waters until this advisory is taken down.  As a reminder, the entire state of Hawaii is under a Brown Water Advisory due to the weather conditions from Hurricane Lane.",,Closed,19.728959,-155.086381
16,Point,Sewage Spill,"Wastewater Discharge at Pauka'a, Hawai‘i",8/24/2018 21:59,2018,9/8/2018 2:35,Hurricane Lane,<Null>,<Null>,Pauka'a,No,Hawaii,No,Hawaii,"The public is advised  to stay our of the coastal waters near Pauka'a, due to a wastewater discharge from the Pauka'a pump station.

Event: Wastewater discharge
Spill Location: Pauka'a pump station
Affected waters: coastal waters fronting Pauka'a and Honoli'i Beach Park
Volume: no estimate at this time
Spill status: Ongoing
Time of spill: estimated 5:50 am

The public is advised to remain out of these waters until this advisory has been taken down.  As a reminder, the entire state of Hawai'i is under a Brown Water Advisory due to the weather conditions from Hurricane Lane.",,Closed,19.762814,-155.086098
17,Point,Sewage Spill,"Wastewater Discharge at Wailuku River and Hilo Bay, Hawai‘i",8/24/2018 10:00,2018,9/4/2018 10:00,Unconfirmed,<Null>,<Null>,Wailuku River and Hilo Bay,No,Hawaii,No,Hawaii,"The public is advised to remain out of the waters of Wailuku River and Hilo Bay due to wastewater discharges.

Event: Wastewater discharge
Spill location: Wailuku and Pua pump stations
Affected Waters: Wailuku River, Hilo Bay, 
Volume: no estimate at this time
Time of spill: approximately 5:45 am, and 6:38 am, respectively
Spill status: Ongoing

The public is advised to remain out of these waters until this advisory is taken down.  As a reminder, the entire state of Hawaii is under a Brown Water Advisory due to the weather conditions from Hurricane Lane.",,Closed,19.728959,-155.086381
18,Point,Sewage Spill,"Wastewater Discharge at Kaohaoha Gulch, Hawai‘i",8/23/2018 22:05,2018,9/7/2018 21:23,Unconfirmed,<Null>,<Null>,Kaohaoha Gulch,No,Hawaii,No,Hawaii,"The Hawai‘i Department of Health (DOH) is warning the public stay out of Kaohaoha Gulch and the coastal waters fronting the gulch in Ookala, Hawai‘i.  Water within Kaohaoha Gulch was contaminated with animal waste due to an overflowing retention pond at the Dairy facility.  The overflows are caused by rainfall from Hurricane Lane.

Event: Wastewater spill
Location: Kaohaoha Gulch and coastal waters fronting gulch
Volume: undetermined
Cause: rainfall  from Hurricane Lane
Signs: will be posted when weather conditions are safe

The public is advised to remain out of these waters until this advisory has been taken down. As a reminder, the entire island is under a Brown Water Advisory due to the hurricane.",,Closed,20.016787,-155.269102
19,Point,Sewage Spill,"Wastewater Discharge at Alaialoa Gulch, Hawai‘i",4/14/2018 2:09,2018,9/6/2018 1:18,Accidental discharge,<Null>,<Null>,Alaialoa Gulch,No,Hawaii,No,Hawaii,"The Hawai‘i Department of Health (DOH) is warning the public stay out of Alaialoa Gulch below Mamalahoa Highway, Ookala, Hawai‘i.  Water within Alaialoa Gulch was contaminated with animal waste due to an accidental spill by workers at the Big Island Dairy facility.  

Owners of Big Island Dairy reported approximately 300 gallons of cow manure was spilled during manure reuse activities. While the dairy owners report that the spill has been stopped, the manure could not be recovered. 

The DOH is advising the public to avoid contact with water within the Alaialoa Gulch in areas between the Big Island Dairy and shoreline east of Ookala Town. Warning signs are being posted in the area. At this time, it is believed the contaminated water has not reached coastal waters, however, water flowing through the gulch may eventually transport the contaminated water downstream.",300,Closed,20.018083,-155.284864
20,Point,Sewage Spill,"Sewage Spill: Waianuenue Ave, Hilo",7/10/2017,2017,7/13/2017,Broken pipe,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised to stay out of the waters between the mouth of Wailuku River, and the shoreline before Mo'oheau Beach Park. CWB was notified of a wastewater discharge from a broken pipe near the corner of Waianuenue Ave. and Kinoole Street. The discharge volume is unknown at this time, but it is estimated to have been at 1 gallon/hour. Repairs are underway, warning signs have been posted and samples will be taken.  The public is advised to remain out of these waters until the signs have been removed.

",,Closed,19.72524,-155.0891
21,Point,Sewage Spill,"Wastewater discharge, Kailua Bay, island of Hawaii",6/12/2017,2017,6/15/2017,broken pipe,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised to stay out of the waters of Kailua Bay, island of Hawaii, from Kailua Pier to Queen's Palace. CWB was notified of a wastewater discharge near the intersection of Palani Road and Alii Drive, near the King Kamehameha Hotel. The wastewater which is estimated at >1,000 gallons, discharged from beneath the road and flowed into nearby stormdrains, which empty into Kailua Bay. Warning signs have been posted and water samples are being collected. The public is advised to remain out of these waters until warning signs have been removed.",1000,Closed,19.64027,-155.99675
22,Point,Sewage Spill,"Wastewater discharge, Puhi Bay, Big Island",6/5/2017,2017,6/7/2017,Leaking pipe,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised to stay out of the waters of Puhi Bay, Big Island, near the Pacific Aquaculture and Coastal Resource Center. CWB was notified of discharge of secondary treated wastewater from the Hilo Wastewater Treatment Plant's outfall pipe. Dye testing procedures had indicated that leakage is occurring. Warning signs have been posted, and water samples hare being collected. The public is advised to remain out of these waters until the signs have been removed.",,Closed,19.73465,-155.04981
23,Point,Sewage Spill,"Sewage Discharge: Intersection of Laimana Street and Waianuenue Ave, Hilo, Hawai'i",4/3/2017,2017,4/5/2017,Overflowing manhole,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"CWB was notified by the County of Hawaii of a sewage discharge at the intersection of Laimana Street and Waianuenue Ave in Hilo, Hawai'i. An estimated 10,000 gallons had been discharged between 08:30AM and 09:00AM due to an overflowing manhole. The discharge is ongoing and crews are responding. Warning signs will be posted at the stream and at Hilo Bay. The public is advised to remain out of these waters until warning signs have been removed.
",10000,Closed,19.72185,-155.09454
24,Point,Sewage Spill,"Wastewater discharge, Kahaluu Beach Park, Big Isle",2/24/2017,2017,3/17/2017,Clogged pipe,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,The public is advised to stay out of the waters at Kahaluu Beach Park on the Big Isle (island of Hawaii). CWB was notified of a wastewater discharge from a sewer clean out from the park bathroom. Approximately less than 100 gallons discharged onto the beach and entered the beach waters. Warning signs have been posted and water samples have been collected. The public is advised to remain out of these waters until the signs have been removed. ,100,Closed,19.57948852,-155.9667571
25,Point,Sewage Spill,Sewage Spill: Paukaa SPS,1/24/2017,2017,1/30/2017,Equipment Malfunction,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"CWB was notified by the County of Hawaii of a sewage spill at the Paukaa SPS. An estimated 5,000 gallons had been discharged between 08:02AM and 08:50AM due to equipment malfunctions. The discharge has been stopped and warning signs have been posted. The public is advised to remain out of these waters until the signs have been removed.
",5000,Closed,19.75871,-155.08962
26,Point,Sewage Spill,Partially Treated Wastewater Discharge: Papaikou WWTP,12/5/2016,2016,12/13/2016,Bypass of Chlorination and Dechlorination Systems,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"CWB was notified by Hawaii County of a wastewater discharge at the Papaikou WWTP. Bypass of the chlorination and dechlorination systems resulted in the discharge of approximately 414,333 gallons of partially treated wastewater. Water samples have been taken and warning signs will be posted.
The public is advised to remain out of nearby waters until warning signs have been removed. 
",414333,Closed,19.782709,-155.086052
27,Point,Sewage Spill,Sewage Overflow: Hawaii Community Correction Center,7/2/2016,2016,7/8/2016,Overflowing Manhole,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The DOH, Clean Water Branch received a notification of an ongoing sewage overflow located at the Hawaii Community Correction Center.  The total volume of the spill is unknown but is believed to be in excess of 11,000 gallons. The public is advised to stay out of the stream and drainage channel leading from Hawaii Community Correction Center to Wailuku River. ",11000,Closed,19.718656,-155.098711
28,Point,Sewage Spill,The public is advised to remain out of waters near Pepeekeo Point.,5/12/2016,2016,5/13/2016,Leak in air piping and/or malfunctioning blower.,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised to remain out of waters near Pepeekeo Point. CWB was notified of a bypass and release that occurred beginning May 12th (2:30pm) through May 13th (8:57am), of an estimated 69,000 gallons of partially treated effluent from Kulaimano WWTP into the nearby coastal waters. The discharge has been stopped, warning signs have been posted and water samples are being collected. The public is advised to stay out of the area until the signs have been removed.",69000,Closed,19.828805,-155.083434
29,Point,Sewage Spill,"Sewage Spill, Paukaa, Hawaii",10/5/2015,2015,10/9/2015,Equipment failure,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised of a sewage spill in Paukaa, north of Honolii to Kahoa Place.  The Department of Health was notified today by County of Hawaii that 150 gallons of raw, untreated sewage entered State waters via a storm drain system due to equipment failure.  Warning signs have been posted and the public should stay out of the area until warning signs have been removed. ",150,Closed,19.75871,-155.08962
30,Point,Sewage Spill,"Wastewqter discharge, Pepeekeo Point, Hawaii",8/23/2015,2015,8/28/2015,Heavy rains,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"The public is advised to remain out of waters near Pepeekeo Point. CWB was notified of a bypass and release that occurred on August 23, of an estimated 70,000 gallons of partially treated effluent from Kulaimano WWTP into the nearby coastal waters. The discharge has been stopped, warning signs have been posted and water samples are being collected. The public is advised to stay out of the area until the signs have been removed.
",70000,Closed,19.849688,-155.081419
31,Point,Sewage Spill,"Manhole Overflow Hilo, HAWAII",1/3/2015,2015,1/4/2015,"Undetermined, on going",<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"CWB was notified of a sewer manhole overflow near the intersection of Wailuku Drive and Puueo near Wailuku Stream in Hilo.  Warning signs are being posted and water samples being taken.  Situation is on going.  Public should stay out of Wailuku Stream and the area around the stream out where it empties into Hilo Bay. UPDATE:  water test results show bacteria levels at background levels, it looks like very little if any sewage entered into Wailuku River.",,Closed,19.72689,-155.08864
32,Point,Sewage Spill,"500 Gallon Waste Water Spill Wailuku River, Hilo, HAWAII",9/12/2011,2011,9/13/2011,Sewer Manhole overflow,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,500 gallons of waste water was discharged into the Wailuku River.  The manhole overflow was near the intersection of Puueo and Wailuku Drive.  Signs are being posted and water samples will be collected. Public is advised to stay out of Hilo  Bay waters fronting Pukihae Street to Haili Street.,500,Closed,19.72689,-155.08864
33,Point,Sewage Spill,"Discharge of Unchlorinated Effluent, Pepeekeo, HAWAII",12/31/2010,2010,1/3/2011,Interruption in chlorination,<Null>,<Null>,<Null>,No,Hawaii,No,Hawaii,"An interruption in chlorination at the Kulaimano WWTP resulted in 5000 gallons of treated but not chlorinated effluent to be discharged into waters off Pepeekeo, Hawaii.  Chlorination resumed shortly after the interruption.  The discharge site is not readily accessible from shoreline. However, boaters and divers should stay clear of the area for the next couple of days.  ",5000,Closed,19.828805,-155.083434
34,Point,Sewage Spill,"Discharge of partially treated wastewater from the East Honolulu Wastewater Treatment Plant, O‘ahu",4/15/2024 2:15,2024,4/16/2024 18:56,Power outage,<Null>,<Null>,East Honolulu Wastewater Treatment Plant,No,Oahu,No,Honolulu,"Update 4:30 pm
Volume = 237,500 gallons

The public is advised to stay out of waters fronting the East Honolulu Wastewater Treatment Plant outfall due to the release of partially treated sewage (UV disinfection bypass).

Cause: power outage at the plant.
Start: 2:45 PM
End (emergency power connected) at 3:27 PM
Volume: unknown

The public is advised to stay out of the affected waters until this advisory has been canceled.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/new/details",237500,Closed,21.288244,-157.672217
35,Point,Sewage Spill,"Wastewater Discharge at 1323 Kalakaua Ave, O‘ahu",3/12/2024 2:42,2024,3/15/2024 23:37,Clogging due to debris,<Null>,<Null>,1323 Kalakaua Ave,No,Oahu,No,Honolulu,"The public is advised to stay out of Makiki Stream along Kalakaua Avenue due to a wastewater discharge from  1323 Kalakaua Ave.

Event: Wastewater discharge leading to 400 gallons entering a storm drain, which leads to Makiki Stream along Kalakaua Ave.
Status: Stopped

Warning sighs have been posted.
The public is advised to remain out of the affected waters until this advisory is removed.",400,Closed,21.298511,-157.836463
36,Point,Sewage Spill,"Wastewater Discharge at Pearl Harbor, O‘ahu",2/19/2024 23:00,2024,3/6/2024 17:34,Unconfirmed,<Null>,<Null>,Pearl Harbor,No,Oahu,No,Honolulu,"The public is advised to stay out of the waters of Pearl Harbor, East loch near due to a wastewater discharge from 98-084 Kamehameha Highway.

Event: Wastewater discharge
Location: 98-084 Kamehameha Hwy
Date/time found: approximately 10:00 pm, 2/17/24 
Estimated volume: unknown
Status: stopped as of 12 pm, 2/19/24
Reached state waters: probable

CWB was notified of a wastewater discharge flowing from a grating located near the corner of Kamehameha Hwy and Kaonohi Street near the Territorial Bank building.  The discharge entered into a nearby storm drain which leads to Pearl Harbor. The discharge has been stopped. The public is advised to stay out of the waters of Pearl harbor, East Loch between Waimalu and Kalauao stream until this advisory is removed.",,Closed,21.381975,-157.947178
37,Point,Sewage Spill,"Wastewater Discharge at Pearl Harbor, O‘ahu",1/21/2024 5:26,2024,1/27/2024 1:59,Unconfirmed,<Null>,<Null>,Pearl Harbor,No,Oahu,No,Honolulu,"The public is advised to stay out of the waters near pier Bravo 1, Pearl Harbor due to a wastewater discharge. Details are as follows:

Event: wastewater discharge
Location: Pier Bravo 1, Pearl Harbor
Estimated volume: 75-150 gallons
Status of spill: stopped
Cause: Broken pipe during offloading of vessel
Affected waters: waters near Pier Bravo 1, Pearl Harbor

The public is advised to remain out of these waters until warning signs have been removed.",150,Closed,21.352706,-157.957814
38,Point,Sewage Spill,"Wastewater Discharge at Joint Base Pearl Harbor Hickam, O‘ahu",1/9/2024 17:42,2024,1/17/2024 19:06,Power disruption to UV disinfection system,<Null>,<Null>,Joint Base Pearl Harbor Hickam,No,Oahu,No,Honolulu,"The public is advised to avoid contact with waters near the Joint Base Pearl Harbor Hickam wastewater treatment plant outfall located near the entrance channel to Pearl Harbor, off the Ewa end of the Reef Runway, due to a discharge of partially treated wastewater.

Event: Discharge of 1.89 million gallons of partially treated wastewater (UV disinfection bypass).

Location: Joint Base Pearl Harbor Hickam wastewater treatment plant outfall

Affected waters: Offshore waters near the entrance channel to Pearl Harbor just off the Ewa end of the Reef Runway

Cause: Heavy rain causing power disruption to the UV disinfection system

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1748/details/view

The public is advised to remain out of the affected waters until this advisory has been cancelled.",1890000,Closed,21.306979,-157.956671
39,Point,Sewage Spill,"Wastewater Discharge at Joint Base Pearl Harbor Hickam, O‘ahu",10/10/2023 2:39,2023,11/8/2023 0:15,Sand filtration bypass,<Null>,<Null>,Joint Base Pearl Harbor Hickam,No,Oahu,No,Honolulu,"Updated 10/12/23
The public is advised to avoid contact with waters near the Joint Base Pearl Harbor Hickam wastewater treatment plant outfall located near the entrance channel to Pearl Harbor, off the Ewa end of the Reef Runway, due to a discharge of partially treated wastewater.

Event: Discharge of partially treated wastewater (sand filtration bypass)
Location: Joint Base Pearl Harbor Hickam wastewater treatment plant outfall
Affected waters: Offshore waters near the entrance channel to Pearl Harbor just off the Ewa end of the Reef Runway. 
Cause: Sand filter bypass
For more information, see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1701/details/view


The public is advised to remain out of the affected waters until this advisory has been canceled.",,Closed,21.306979,-157.956671
40,Point,Sewage Spill,"Wastewater Discharge at Joint Base Pearl Harbor Hickam, O‘ahu",9/16/2023 2:07,2023,9/23/2023 2:37,Sand filtration by pass,<Null>,<Null>,Joint Base Pearl Harbor Hickam,No,Oahu,No,Honolulu,"The public is advised to avoid contact with waters near the Joint Base Pearl Harbor Hickam wastewater treatment plant outfall located near the entrance channel to Pearl Harbor, off the Ewa end of the Reef Runway, due to a discharge of partially treated wastewater. 

Event: Discharge of partially treated wastewater (sand filtration bypass) 
Location: Joint Base Pearl Harbor Hickam wastewater treatment plant outfall
Volume: 1,109 gallons 
Affected waters: Offshore waters near the entrance channel to Pearl Harbor just off the Ewa end of the Reef Runway. 
Status of spill: Stopped 
Cause: Sand filter bypass 

The public is advised to remain out of the affected waters until this advisory has been canceled. For more information, please use the following link: https://eha-cloud.doh.hawaii.gov/cwb#!/event/new/details",1109,Closed,21.306979,-157.956671
41,Point,Sewage Spill,"Wastewater Discharge at Joint Base Pearl Harbor Hickam, O‘ahu",8/25/2023 1:16,2023,8/29/2023 20:55,"Higher than normal influent flow, reduced sand filter capacity.",<Null>,<Null>,Joint Base Pearl Harbor Hickam,No,Oahu,No,Honolulu,"The public is advised to avoid contact with waters near the Joint Base Pearl Harbor Hickam wastewater treatment plant outfall located near the entrance channel to Pearl Harbor, off the Ewa end of the Reef Runway, due to a discharge of partially treated wastewater.

Event: Discharge of partially treated wastewater (sand filtration bypass)
Location: Joint Base Pearl Harbor Hickam wastewater treatment plant outfall
Volume:  584 gallons
Affected waters: Offshore waters near the entrance channel to Pearl Harbor just off the Ewa end of the Reef Runway.
Status of spill: Stopped
Cause: Higher than normal influent flow, reduced sand filter capacity.

The public is advised to remain out of the affected waters until this advisory has been canceled. For more information, please use the following link: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1690/details/view",584,Closed,21.306979,-157.956671
